ntaps,dtaps,xi,Q,model
1,181,0.15,7.239062009764519,FDBP
1,193,0.15,7.6109997871573745,FDBP
1,205,0.15,7.841992040769705,FDBP
1,217,0.15,8.072326262126388,FDBP
1,229,0.15,8.149429666905199,FDBP
1,241,0.15,8.251611002260981,FDBP
1,253,0.15,8.326417729586527,FDBP
7,181,0.38,7.303369088044179,FDBP
7,193,0.38,7.6664890187069865,FDBP
7,205,0.38,7.9001814042654495,FDBP
7,217,0.38,8.141374097111303,FDBP
7,229,0.38,8.216789462045494,FDBP
7,241,0.38,8.325047242092216,FDBP
7,253,0.38,8.394354400596217,FDBP
13,181,0.56,7.3681674838148234,FDBP
13,193,0.56,7.745409192835984,FDBP
13,205,0.56,7.988810977354715,FDBP
13,217,0.56,8.227525190691878,FDBP
13,229,0.56,8.303996006880737,FDBP
13,241,0.56,8.421332663672946,FDBP
13,253,0.56,8.489885996741414,FDBP
19,181,0.74,7.399272976147922,FDBP
19,193,0.74,7.762100670755178,FDBP
19,205,0.74,8.008859377875325,FDBP
19,217,0.74,8.250685727609003,FDBP
19,229,0.74,8.33328817223688,FDBP
19,241,0.74,8.441926525812743,FDBP
19,253,0.74,8.517619054850174,FDBP
25,181,0.85,7.427005378696483,FDBP
25,193,0.85,7.807772521291794,FDBP
25,205,0.85,8.057646962468821,FDBP
25,217,0.85,8.298125645734837,FDBP
25,229,0.85,8.374880624019838,FDBP
25,241,0.85,8.49356973884634,FDBP
25,253,0.85,8.567487047970479,FDBP
31,181,1.0,7.435221315730985,FDBP
31,193,1.0,7.799466056906137,FDBP
31,205,1.0,8.049735157009435,FDBP
31,217,1.0,8.292502750850359,FDBP
31,229,1.0,8.375694663037658,FDBP
31,241,1.0,8.492728697124916,FDBP
31,253,1.0,8.562129983037469,FDBP
37,181,1.1,7.44584669798958,FDBP
37,193,1.1,7.831697605135109,FDBP
37,205,1.1,8.08202524614802,FDBP
37,217,1.1,8.318478286474921,FDBP
37,229,1.1,8.402256287411182,FDBP
37,241,1.1,8.518912122868702,FDBP
37,253,1.1,8.59056895348253,FDBP
1,181,0.15,7.244903463989047,EDBP
1,193,0.15,7.618716351914223,EDBP
1,205,0.15,7.8519944760992155,EDBP
1,217,0.15,8.08122376085353,EDBP
1,229,0.15,8.155541012145559,EDBP
1,241,0.15,8.265258492430611,EDBP
1,253,0.15,8.334212776146355,EDBP
7,181,0.38,7.366154502805216,EDBP
7,193,0.38,7.741125185799163,EDBP
7,205,0.38,7.980137633536831,EDBP
7,217,0.38,8.220292089522923,EDBP
7,229,0.38,8.295948642511949,EDBP
7,241,0.38,8.412567848083235,EDBP
7,253,0.38,8.481374985519189,EDBP
13,181,0.56,7.430253364596222,EDBP
13,193,0.56,7.812427051262634,EDBP
13,205,0.56,8.065091183048226,EDBP
13,217,0.56,8.305033339191764,EDBP
13,229,0.56,8.387479450649844,EDBP
13,241,0.56,8.500384695816791,EDBP
13,253,0.56,8.572338116850037,EDBP
19,181,0.74,7.456858216270849,EDBP
19,193,0.74,7.828340946353672,EDBP
19,205,0.74,8.076285509871068,EDBP
19,217,0.74,8.320511763665767,EDBP
19,229,0.74,8.40829898964106,EDBP
19,241,0.74,8.518816072874333,EDBP
19,253,0.74,8.593783374008629,EDBP
25,181,0.85,7.479752997771657,EDBP
25,193,0.85,7.869049815509413,EDBP
25,205,0.85,8.120128658578787,EDBP
25,217,0.85,8.363727861322939,EDBP
25,229,0.85,8.44728278436232,EDBP
25,241,0.85,8.5639979993343,EDBP
25,253,0.85,8.633948866392378,EDBP
31,181,1.0,7.489536620419369,EDBP
31,193,1.0,7.864944149977062,EDBP
31,205,1.0,8.11798605264016,EDBP
31,217,1.0,8.363365572594251,EDBP
31,229,1.0,8.44839811851504,EDBP
31,241,1.0,8.56517814076777,EDBP
31,253,1.0,8.631575868713238,EDBP
37,181,1.1,7.5033240174295015,EDBP
37,193,1.1,7.896526968005455,EDBP
37,205,1.1,8.149080671269179,EDBP
37,217,1.1,8.390506787696042,EDBP
37,229,1.1,8.477125737595884,EDBP
37,241,1.1,8.596812179407621,EDBP
37,253,1.1,8.67020617699939,EDBP
1,181,0.15,8.223946218767816,GDBP
1,193,0.15,8.28048886021049,GDBP
1,205,0.15,8.345231711908657,GDBP
1,217,0.15,8.378775189749847,GDBP
1,229,0.15,8.401665433787455,GDBP
1,241,0.15,8.411170788256003,GDBP
1,253,0.15,8.417489598599307,GDBP
7,181,0.38,8.383939259450722,GDBP
7,193,0.38,8.430178752473203,GDBP
7,205,0.38,8.510882204776797,GDBP
7,217,0.38,8.548542828059988,GDBP
7,229,0.38,8.567200248765609,GDBP
7,241,0.38,8.578319044336641,GDBP
7,253,0.38,8.588349820057966,GDBP
13,181,0.56,8.43734965799971,GDBP
13,193,0.56,8.500003549596828,GDBP
13,205,0.56,8.575962205844668,GDBP
13,217,0.56,8.608511599164164,GDBP
13,229,0.56,8.63465540740659,GDBP
13,241,0.56,8.646762450810774,GDBP
13,253,0.56,8.655266602200511,GDBP
19,181,0.74,8.479190004693024,GDBP
19,193,0.74,8.529458362353587,GDBP
19,205,0.74,8.611589038430212,GDBP
19,217,0.74,8.655540915618408,GDBP
19,229,0.74,8.673304047062643,GDBP
19,241,0.74,8.683099729972865,GDBP
19,253,0.74,8.699227890734448,GDBP
25,181,0.85,8.496422714387425,GDBP
25,193,0.85,8.567256388291034,GDBP
25,205,0.85,8.63503353367609,GDBP
25,217,0.85,8.669967169559694,GDBP
25,229,0.85,8.697873473110633,GDBP
25,241,0.85,8.706947197764434,GDBP
25,253,0.85,8.715593803386287,GDBP
31,181,1.0,8.522733215939816,GDBP
31,193,1.0,8.584365330433181,GDBP
31,205,1.0,8.663914430586187,GDBP
31,217,1.0,8.693960337938648,GDBP
31,229,1.0,8.717888360350205,GDBP
31,241,1.0,8.737097425952932,GDBP
31,253,1.0,8.737578055144288,GDBP
37,181,1.1,8.52090452051514,GDBP
37,193,1.1,8.59348971548568,GDBP
37,205,1.1,8.665587200032604,GDBP
37,217,1.1,8.701218879220187,GDBP
37,229,1.1,8.734731427487233,GDBP
37,241,1.1,8.741636541422706,GDBP
37,253,1.1,8.746361738542564,GDBP
